antibiotic,resistant_phenotype,evidence,genome_id,genome_name,laboratory_typing_method,testing_standard,taxon_id,measurement,measurement_unit,species
chloramphenicol,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
ciprofloxacin,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
daptomycin,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
erythromycin,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
gentamicin,Resistant,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
kanamycin,Resistant,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
lincomycin,Resistant,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
linezolid,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
penicillin,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
sulfamethazine,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tetracycline,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tgecycline,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tylosin,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
vancomycin,Susceptible,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
virginiamycin,Resistant,Laboratory Method,1351.1163,Enterococcus faecalis strain 16EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
chloramphenicol,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
ciprofloxacin,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
daptomycin,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
erythromycin,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
gentamicin,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
kanamycin,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
lincomycin,Resistant,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
linezolid,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
penicillin,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
sulfamethazine,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tgecycline,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tylosin,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
vancomycin,Susceptible,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
virginiamycin,Resistant,Laboratory Method,1351.1164,Enterococcus faecalis strain 14EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
chloramphenicol,Susceptible,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
ciprofloxacin,Susceptible,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
daptomycin,Susceptible,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
erythromycin,Resistant,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
gentamicin,Resistant,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
kanamycin,Resistant,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
lincomycin,Resistant,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
linezolid,Susceptible,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
penicillin,Susceptible,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
sulfamethazine,Resistant,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tetracycline,Resistant,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tgecycline,Susceptible,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tylosin,Resistant,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
vancomycin,Susceptible,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
virginiamycin,Resistant,Laboratory Method,1351.1165,Enterococcus faecalis strain 182EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
chloramphenicol,Susceptible,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
ciprofloxacin,Susceptible,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
daptomycin,Susceptible,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
erythromycin,Resistant,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
gentamicin,Resistant,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
kanamycin,Resistant,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
lincomycin,Resistant,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
linezolid,Susceptible,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
penicillin,Susceptible,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
sulfamethazine,Susceptible,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tetracycline,Resistant,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tgecycline,Susceptible,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tylosin,Resistant,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
vancomycin,Susceptible,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
virginiamycin,Resistant,Laboratory Method,1351.1166,Enterococcus faecalis strain 210AEA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
chloramphenicol,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
ciprofloxacin,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
daptomycin,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
erythromycin,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
gentamicin,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
kanamycin,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
lincomycin,Resistant,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
linezolid,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
penicillin,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
sulfamethazine,Resistant,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tetracycline,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tgecycline,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tylosin,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
vancomycin,Susceptible,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
virginiamycin,Resistant,Laboratory Method,1351.1167,Enterococcus faecalis strain 209EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
chloramphenicol,Susceptible,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
ciprofloxacin,Susceptible,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
daptomycin,Susceptible,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
erythromycin,Resistant,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
gentamicin,Resistant,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
kanamycin,Resistant,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
lincomycin,Resistant,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
linezolid,Susceptible,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
penicillin,Susceptible,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
sulfamethazine,Resistant,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tetracycline,Resistant,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tgecycline,Susceptible,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
tylosin,Resistant,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
vancomycin,Susceptible,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
virginiamycin,Resistant,Laboratory Method,1351.1168,Enterococcus faecalis strain 234EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
chloramphenicol,Susceptible,Laboratory Method,1351.1169,Enterococcus faecalis strain 213EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
ciprofloxacin,Susceptible,Laboratory Method,1351.1169,Enterococcus faecalis strain 213EA1,cation-adjusted Mueller-Hinton broth,CLSI,1351,,,Enterococcus faecalis
