gene_id,cluster,species,resistant_phenotype,product
fig|1351.1163.peg.1362,2,Enterococcus faecalis,Susceptible,Collagen adhesin
fig|1351.1163.peg.1363,2,Enterococcus faecalis,Susceptible,Collagen adhesin
fig|1351.1163.peg.1369,1,Enterococcus faecalis,Susceptible,"Sortase A, LPXTG specific"
fig|1351.1163.peg.1370,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1163.peg.1371,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1163.peg.1372,2,Enterococcus faecalis,Susceptible,von Willebrand factor type A domain protein
fig|1351.1163.peg.1383,3,Enterococcus faecalis,Susceptible,Uncharacterized MFS-type transporter
fig|1351.1163.peg.1570,0,Enterococcus faecalis,Susceptible,"Maltose operon transcriptional repressor MalR, LacI family"
fig|1351.1163.peg.161,0,Enterococcus faecalis,Susceptible,ABC-F type ribosomal protection protein => Lsa(A)
fig|1351.1163.peg.1680,0,Enterococcus faecalis,Susceptible,Alanine racemase (EC 5.1.1.1)
fig|1351.1163.peg.1709,2,Enterococcus faecalis,Susceptible,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1163.peg.1762,0,Enterococcus faecalis,Susceptible,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
fig|1351.1163.peg.2062,0,Enterococcus faecalis,Susceptible,"Cell envelope stress response system LiaFSR, response regulator LiaR(VraR)"
fig|1351.1163.peg.2070,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
fig|1351.1163.peg.2071,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"
fig|1351.1163.peg.2161,1,Enterococcus faecalis,Susceptible,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1163.peg.2162,2,Enterococcus faecalis,Susceptible,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1163.peg.2242,1,Enterococcus faecalis,Susceptible,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
fig|1351.1163.peg.2557,2,Enterococcus faecalis,Susceptible,Aggregation substance Asa1/PrgB
fig|1351.1163.peg.2559,2,Enterococcus faecalis,Susceptible,Aggregation substance Asa1/PrgB
fig|1351.1163.peg.2620,0,Enterococcus faecalis,Susceptible,Translation elongation factor Tu
